iter	Passed	Remaining
0	1	106
1	2	109
2	3	107
3	4	104
4	5	101
5	6	99
6	7	100
7	8	97
8	9	96
9	10	97
10	12	98
11	13	96
12	14	94
13	15	92
14	16	91
15	17	89
16	18	88
17	19	86
18	19	84
19	20	83
20	21	82
21	22	81
22	23	79
23	25	80
24	26	79
25	27	78
26	28	77
27	29	76
28	30	75
29	31	73
30	32	72
31	33	71
32	34	70
33	36	69
34	37	68
35	38	68
36	39	67
37	40	66
38	41	65
39	42	64
40	43	62
41	44	60
42	44	59
43	45	58
44	46	57
45	48	56
46	49	55
47	50	55
48	51	54
49	52	52
50	54	52
51	55	51
52	56	50
53	57	49
54	58	47
55	59	47
56	60	45
57	61	44
58	98	68
59	111	74
60	112	72
61	114	69
62	115	67
63	116	65
64	117	63
65	118	60
66	119	58
67	120	56
68	120	54
69	122	52
70	123	50
71	124	48
72	125	46
73	127	44
74	128	42
75	129	41
76	132	39
77	133	37
78	134	35
79	135	33
80	137	32
81	138	30
82	139	28
83	140	26
84	141	24
85	142	23
86	143	21
87	145	19
88	146	18
89	147	16
90	148	14
91	149	12
92	150	11
93	151	9
94	152	8
95	153	6
96	154	4
97	155	3
98	156	1
99	157	0
